"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30949","TestUserCanLoginWithUserInvalidCredentials","All Test Suite","Fri Jul 25 17:08:06 BDT 2025","passed","Fri Jul 25 17:08:37 BDT 2025","testcases.TestLoginPage","C:/Users/HP/IdeaProjects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestUserCanLoginWithUserInvalidCredentials"
"","86107","Test Login with Valid Credentials","All Test Suite","Fri Jul 25 17:05:39 BDT 2025","passed","Fri Jul 25 17:07:05 BDT 2025","testcases.TestLoginPage","C:/Users/HP/IdeaProjects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestUserCanLoginWithValidCredentials"
"Validate Title","6692","Test Main Page Title","All Test Suite","Fri Jul 25 17:09:00 BDT 2025","passed","Fri Jul 25 17:09:07 BDT 2025","testcases.TestMainPages","C:/Users/HP/IdeaProjects/WebAutomation_POM/src/test/java/testcases","testcases.TestMainPages","TestMainPageTitle"
"","16756","TestUserCanLoginWithUserInvalidCredentials","All Test Suite","Fri Jul 25 17:08:40 BDT 2025","passed","Fri Jul 25 17:08:57 BDT 2025","testcases.TestLoginPage","C:/Users/HP/IdeaProjects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestUserCanLoginWithUserInvalidCredentials"
"","54643","TestUserCanLoginWithUserInvalidCredentials","All Test Suite","Fri Jul 25 17:07:08 BDT 2025","passed","Fri Jul 25 17:08:03 BDT 2025","testcases.TestLoginPage","C:/Users/HP/IdeaProjects/WebAutomation_POM/src/test/java/testcases","testcases.TestLoginPage","TestUserCanLoginWithUserInvalidCredentials"
